"## Filename : qalingo-common-wording",,,,,,,,,,,,,,
"## PrefixKey : common",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Common Messages",,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN"
"legal.terms","company.country","France","France","France","France","France","France","France","France","法国","法國","法國","法國","Pháp"
"legal.terms","company.phone",,,,,,,,,,,,,
"legal.terms","company.fax",,,,,,,,,,,,,
"legal.terms","company.email","contact","contact","contact","contact","contact","contact","contact","接触","联系","聯繫","聯繫","聯繫","Liên lạc"
"legal.terms","company.website.url","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com","www.qalingo.com"
"legal.terms","company.website.name","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com"
"legal.terms","service.label","Customer services (SRC)","Service Relation Clientèle (SRC)","Kundendienst (SRC)","Atención al cliente (SRC)","Servizi per i clienti (SRC)","Klantenservice (SRC)","Serviços ao cliente (SRC)","カスタマー·サービス (SRC)","客户服务 (SRC)","客戶服務 (SRC)","客户服务 (SRC)","客戶服務 (SRC)","Dịch vụ khách hàng (SRC)"
"legal.terms","full.address","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}","Demo Qalingo Company - {0} - rue Anatole France - 92300 Levallois-Perret – {1}"
,,,,,,,,,,,,,,
"## -- Slide --",,,,,,,,,,,,,,
"slide","next.label","Next","Suivant","nächster ","¡Siguiente ","Il Prossimo ","volgende","Next ","次","下一页","下一頁","下一頁","下一頁","Kế tiếp"
"slide","previous.label","Previous","Précédent","früher ","anterior ","precedente ","vorig","anterior","前 ","上一页","上一頁","上一頁","上一頁","Trước đó"
"slide","more.label","More…","Plus…","Mehr ... ","Más ... ","Di Più ... ","Meer ... ","Mais ... ","もっと... ","更多...","更多...","更多...","更多...","Nhiều hơn…"
"slide","read.more.label","Read more…","En lire plus…","Weiterlesen ...","Leer más ...","Per saperne di più ...","Lees meer ...","Leia mais ...","続きを読む...","阅读更多...","閱讀更多...","閱讀更多...","閱讀更多...","Đọc tiếp..."
,,,,,,,,,,,,,,
"## -- Message --",,,,,,,,,,,,,,
"message","cross.label","×","×","×","×","×","×","×","×","×","×","×","×","x"
,,,,,,,,,,,,,,
"## -- Contact --",,,,,,,,,,,,,,
"contact","contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","接触","联系","聯繫","聯繫","聯繫","Liên lạc"
"contact","contact.form","Contact Form","Formulaire de contact","contact Form","contact Form","contact Form","contact Form","contact Form","接触","联系","聯繫","聯繫","聯繫","Liên lạc"
,,,,,,,,,,,,,,
"contact","form.label.lastname","Lastname","Nom","Name","nombre","nome","naam","nome","名前","姓氏","姓氏","姓氏","姓氏","Họ",
"contact","form.label.firstname","Firstname","Prénom","Vorname","Nombre De Pila","Nome","Voornaam","primeiro Nome","ファーストネーム","名字","名字","名字","名字","Tên",
"contact","form.label.country","Country","Pays","Land","país","paese","land","país","カントリー","国家","國家","國家","國家","Quốc gia",
"contact","form.label.email","Email","Email","E-mail","E-mail","E-mail","E-mail","E-mail","メール","电子邮件","電子郵件","電子郵件","電子郵件","Email",
"contact","form.label.phone","Phone","Téléphone","Telefon","teléfono","telefono","telefoon","telefone","電話","电话","電話","電話","電話","Điện thoại",
"contact","form.label.fax","Fax","Fax","Fax","fax","fax","fax","fax","ファックス","传真","傳真","傳真","傳真","Fax",
"contact","form.label.mobile","Mobile","Mobile","Handy","móvil","mobile","mobiel","móvel","モバイル","Mobile","Mobile","手機","手機","手機","Di động"
"contact","form.label.website","Website","Site internet","Webseite","sitio web","sito web","website","site","ウェブサイト","网站","網站","網站","網站","Website",
"contact","form.label.subject","Subject","Sujet","Thema","tema","argomento","onderwerp","tópico","トピック","主题","主題","主題","主題","Chủ đề",
"contact","form.label.message","Message","Message","Nachricht","mensaje","messaggio","bericht","mensagem","メッセージ","信息","信息","信息","信息","Tin nhắn",
,,,,,,,,,,,,,,,
"contact","form.label.submit","Send","Envoyer","senden","enviar","inviare","sturen","enviar","送信する","发送","發送","發送","發送","Gửi",
"contact","form.label.cancel","Cancel","Annuler","stornieren","cancelar","cancellare","annuleren","cancelar","キャンセル","取消","取消","取消","取消","Hủy",
,,,,,,,,,,,,,,,
"contact","form.success.message","Your message is sended","Votre message a été envoyé","Ihre Nachricht wurde gesendet","Su mensaje ha sido enviado","Il tuo messaggio è stato inviato","Je bericht is verzonden","Sua mensagem foi enviada com sucesso","あなたのメッセージを送信しました","您的消息被传送","您的消息被傳送","您的消息被傳送","您的消息被傳送","Tin nhắn của bạn đã được gửi",
"contact","form.fail.message","Your message can't be send","Votre message ne peut être envoyé","Ihre Nachricht kann nicht gesendet werden","Su mensaje no puede ser enviado","Il vostro messaggio non può essere inviato","Uw bericht kan niet worden verzonden","Sua mensagem não pode ser enviada","あなたのメッセージを送信することはできません","您的邮件无法发送","您的郵件無法發送","您的郵件無法發送","您的郵件無法發送","Tin nhắn của bạn không thể gửi",
,,,,,,,,,,,,,,,
"contact","error.form.email.empty","Email is mandatory","L'email est obligatoire","Email wird angefordert","Email es necesario","È richiesto Email","E-mail is verplicht","O email é obrigatório","メールが必要です","电子邮件是必备的","電子郵件是必備的","電子郵件是必備的","電子郵件是必備的","Email là bắt buộc",
"contact","error.form.email.is.not.valid","Email is not valid","L'email n'est pas valide","Die E-Mail ist ungültig","El correo electrónico no es válido","L'e-mail non è valido","De e-mail is ongeldig","O e-mail não é válido","電子メールは無効です","电邮无效","電郵無效","電郵無效","電郵無效","Email không hợp lệ",
"contact","error.form.subject.empty","Subject is mandatoy","Le sujet est obligatoire","Das Thema ist obligatorisch","La asignatura es obligatoria","Il soggetto è obbligatoria","Het onderwerp is verplicht","O assunto é obrigatório","対象は必須です","主题是必備的","主題是必備的","主題是必備的","主題是必備的","Chủ đề là bắt buộc",
"contact","error.form.message.empty","Message is mandatory","Le message est obligatoire","Nachricht benötigt","Mensaje requerido","Messaggio richiesta","Boodschap verplicht","Mensagem necessário","必要なメッセージ","消息是必备的","消息是必備的","消息是必備的","消息是必備的","Tin nhắn là bắt buộc",
,,,,,,,,,,,,,,
"## -- Feedback --",,,,,,,,,,,,,,
"feedback","feedbacks","Feedbacks","Avis","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks","Feedbacks"
"feedback","add.feedback","Add a feedback","Ajouter un avis","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback","Add a feedback"
,,,,,,,,,,,,,,
"feedback","form.label.lastname","Lastname","Nom","Name","nombre","nome","naam","nome","名前","姓氏","姓氏","姓氏","姓氏","Họ",
